Player,Team,Position,Age,Matches played,Minutes played,Successful attacking actions per 90,Goals,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists,Assists per 90,xA,xA per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90
D. Klaassen,Ajax,"RDMF, RCMF, AMF",28,29,2321,2.48,12,0.47,11,0.43,11.61,0.45,4,0.16,43,1.67,65.12,27.907,3,0.12,3.21,0.12,0.89,39.13,1.4,50,4.34,40.18,3.57,0.47
O. Kökçü,Feyenoord,"LCMF, AMF",21,24,1830,4.03,3,0.15,3,0.15,2.54,0.13,0,0,53,2.61,33.96,5.66,2,0.1,3.32,0.16,1.28,53.85,3.05,62.9,8.41,45.03,1.43,1.67
C. Stengs,Nice,"RAMF, AMF, RWF",23,30,2759,5.94,7,0.23,7,0.23,6.8,0.22,0,0,61,1.99,47.54,11.475,5,0.16,7.33,0.24,1.3,32.5,5.06,57.42,11.65,41.74,3.2,2.19
M. Götze,PSV,"RW, LW, AMF",30,18,1458,4.26,5,0.31,5,0.31,5.16,0.32,0,0,15,0.93,73.33,33.333,5,0.31,2.69,0.17,2.28,43.24,3.33,48.15,8.15,39.39,2.78,2.1
M. Kudus,Ajax,"RCMF, LDMF, AMF",21,17,872,4.13,4,0.41,4,0.41,1.69,0.17,0,0,17,1.75,29.41,23.529,1,0.1,0.8,0.08,0.93,33.33,5.16,52,16.1,39.1,3.2,2.06
Q. Promes,Spartak Moskva,"AMF, LAMF, CF",30,19,1083,4.49,6,0.5,5,0.42,8.3,0.69,0,0,51,4.24,41.18,11.765,0,0,1.59,0.13,1.5,16.67,4.07,46.94,9.06,33.94,6.07,0.83
Z. Labyad,Ajax,"AMF, CF, RCMF",28,22,1021,4.23,5,0.44,5,0.44,4.8,0.42,1,0.09,39,3.44,48.72,12.821,6,0.53,2.45,0.22,1.85,38.1,2.91,45.45,8.46,33.33,4.76,1.06
J. Ekkelenkamp,Hertha BSC,"AMF, RDMF, RCMF",21,15,717,2.38,3,0.38,3,0.38,4.8,0.6,1,0.13,22,2.76,31.82,13.636,2,0.25,1.81,0.23,0.88,42.86,2.26,38.89,8.03,34.38,6.03,1.13
D. de Wit,AZ,"AMF, RCMF",24,20,1302,1.04,4,0.28,4,0.28,3.8,0.26,1,0.07,23,1.59,30.43,17.391,3,0.21,1.05,0.07,0.14,50,1.31,26.32,8.29,37.5,3.66,0.62
A. Guðmundsson,Genoa,"AMF, CF, RAMF",24,26,2043,4.49,7,0.31,6,0.26,10.81,0.48,0,0,55,2.42,36.36,12.727,3,0.13,4.16,0.18,1.15,26.92,4.45,52.48,11.06,47.41,4.27,1.23
M. Trésor,Genk,"AMF, LAMF, LW",22,34,2574,4.9,4,0.14,1,0.03,5.84,0.2,0,0,44,1.54,34.09,9.091,8,0.28,7.49,0.26,2.13,37.7,6.47,48.11,12.27,38.75,2.1,3.08
T. Suslov,Groningen,"AMF, RWF, RCMF",19,29,1581,3.53,2,0.11,2,0.11,2.89,0.16,0,0,36,2.05,30.56,5.556,5,0.28,3.4,0.19,1.02,22.22,4.38,49.35,9.96,44.57,1.71,1.48
João Carlos,Feyenoord,"AMF, LCMF, RCMF",28,18,972,3.89,0,0,0,0,1.95,0.18,0,0,17,1.57,5.88,0,2,0.19,0.96,0.09,1.67,22.22,6.02,40,14.72,34.59,4.07,1.76
S. Gustafson,Utrecht,"AMF, LCMF",27,22,1752,2.26,3,0.15,1,0.05,4.5,0.23,0,0,28,1.44,50,10.714,1,0.05,2.79,0.14,0.82,25,1.34,61.54,5.91,48.7,1.85,1.49
S. van de Streek,Utrecht,"AMF, CF",28,34,2800,2.35,11,0.35,10,0.32,10.91,0.35,4,0.13,74,2.38,41.89,14.865,4,0.13,2.45,0.08,0.45,21.43,1.96,52.46,7.3,40.09,3.18,0.42
S. Peña,Malmö FF,AMF,26,32,2954,3.69,6,0.18,2,0.06,6.71,0.2,0,0,55,1.68,38.18,10.909,2,0.06,5.29,0.16,1.55,33.33,3.44,55.75,11.61,37.01,0.94,1.68
Z. Flemming,Fortuna Sittard,"AMF, CF, RCMF",23,33,3161,3.3,12,0.34,12,0.34,10.89,0.31,1,0.03,88,2.51,54.55,13.636,7,0.2,3.84,0.11,0.83,20.69,3.05,48.6,7.8,33.58,2.33,1.28
M. Rayhi,Al Batin,"LW, CF, AMF",27,3,287,5.96,0,0,0,0,0.54,0.17,0,0,7,2.2,28.57,0,0,0,0.09,0.03,3.14,40,6.59,57.14,9.72,58.06,1.57,0.94
R. Lundqvist,Panathinaikos,"AMF, LCMF, RCMF",24,26,1576,2,2,0.11,2,0.11,1.11,0.06,0,0,26,1.48,19.23,7.692,2,0.11,3,0.17,1.54,33.33,2.4,47.62,6.4,45.54,1.2,0.57
I. Pherai,Borussia Dortmund II,"LWF, AMF",21,27,1724,3.81,2,0.1,2,0.1,3.06,0.16,0,0,45,2.35,28.89,4.444,2,0.1,2.32,0.12,3.24,32.26,4.65,40.45,9.45,30.39,2.87,1.83
G. Sağlam,Willem II,"RDMF, AMF, RCMF",24,21,1346,1.34,2,0.13,2,0.13,2.7,0.18,0,0,21,1.4,28.57,9.524,1,0.07,1.74,0.12,0.47,42.86,1.27,21.05,4.21,23.81,0.47,0.8
L. Ilić,Troyes,"AMF, LCMF, RCMF",22,24,1382,2.47,2,0.13,2,0.13,2.72,0.18,0,0,26,1.69,11.54,7.692,2,0.13,1.01,0.07,0.85,23.08,3.19,48.98,6.97,35.51,1.82,1.17
A. El Messaoudi,Gaziantep,"AMF, RCMF",26,29,2457,2.78,8,0.29,8,0.29,5.39,0.2,3,0.11,49,1.79,36.73,16.327,0,0,1.31,0.05,0.7,10.53,3.66,47,8.75,38.91,1.98,0.81
J. Bosch,Twente,"AMF, LCMF",21,32,2384,1.4,2,0.08,2,0.08,5.05,0.19,0,0,29,1.09,37.93,6.897,0,0,0.75,0.03,0.38,20,1.51,40,5.21,32.61,1.81,0.49
B. Smeets,Sparta Rotterdam,AMF,29,27,1721,2.35,4,0.21,4,0.21,2.64,0.14,1,0.05,27,1.41,33.33,14.815,3,0.16,3.02,0.16,1.52,44.83,1.05,55,3.35,32.81,2.14,0.73
O. Tannane,Göztepe,"AMF, CF, RCMF",28,29,2531,7.4,7,0.25,4,0.14,8.7,0.31,0,0,126,4.48,26.98,5.556,9,0.32,9.56,0.34,2.2,50,8.64,49.79,17.5,43.9,2.24,3.88
S. de Jong,Heerenveen,"AMF, CF",33,19,1429,2.46,4,0.25,4,0.25,2.71,0.17,0,0,29,1.83,37.93,13.793,2,0.13,1.1,0.07,0.31,60,3.34,30.19,8.69,24.64,2.52,0.88
