Player,Team,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Shots blocked per 90,Interceptions per 90,Successful attacking actions per 90,"Goal conversion, %",Passes per 90,"Accurate passes, %",Forward passes per 90,xA per 90,Key passes per 90,"Accurate through passes, %",Progressive passes per 90,"Direct free kicks on target, %","Penalty conversion, %"
Z. Flemming,Fortuna Sittard,"AMF, CF, RCMF",23,33,3161,12,10.89,7,3.84,20.67,42.84,6.24,4.41,51.61,0.17,3.59,3.3,13.636,21.21,74.77,6.12,0.11,0.4,41.38,2.76,53.33,0
D. Klaassen,Ajax,"RDMF, RCMF, AMF",28,29,2321,12,11.61,3,3.21,16.64,44.99,6.71,5.43,52.14,0.16,3.53,2.48,27.907,45.79,87.13,12.83,0.12,0.39,40.91,6.17,0,50
S. van de Streek,Utrecht,"AMF, CF",28,34,2800,11,10.91,4,2.45,25.26,47.2,6.11,5.75,54.19,0.13,2.67,2.35,14.865,22.95,73.39,7.17,0.08,0.26,33.33,3.66,0,50
A. El Messaoudi,Gaziantep,"AMF, RCMF",26,29,2457,8,5.39,0,1.31,23.74,45.99,6.7,6.7,55.74,0.11,2.89,2.78,16.327,24.43,80.06,7.4,0.05,0.15,41.18,3.41,0,0
A. Guðmundsson,Genoa,"AMF, CF, RAMF",24,26,2043,7,10.81,3,4.16,20.93,46.11,4.93,4.98,57.52,0.09,1.76,4.49,12.727,31.89,81.91,8.5,0.18,0.84,50,3.66,0,100
C. Stengs,Nice,"RAMF, AMF, RWF",23,30,2759,7,6.8,5,7.33,20.58,43.42,5.15,5.15,54.43,0.07,2.28,5.94,11.475,38.26,78.43,11.58,0.24,0.72,51.09,6.52,0,0
O. Tannane,Göztepe,"AMF, CF, RCMF",28,29,2531,7,8.7,9,9.56,29.76,42.89,4.62,5.69,48.75,0.11,1.53,7.4,5.556,43.45,75.61,16.25,0.34,0.75,20.45,9.39,16.67,100
S. Peña,Malmö FF,AMF,26,32,2954,6,6.71,2,5.29,24.89,43.45,7.25,6.43,60.66,0.06,2.22,3.69,10.909,61.42,83.43,14.84,0.16,0.55,34.72,8.68,25,80
Q. Promes,Spartak Moskva,"AMF, LAMF, CF",30,19,1083,6,8.3,0,1.59,17.37,36.84,3.57,2.49,66.67,0.17,1.91,4.49,11.765,45.04,88.19,9.97,0.13,0.5,71.43,3.91,0,100
Z. Labyad,Ajax,"AMF, CF, RCMF",28,22,1021,5,4.8,6,2.45,19.48,38.01,2.73,3.17,58.33,0,0.88,4.23,12.821,35.61,80.2,7.67,0.22,0.79,21.43,5.02,60,0
M. Götze,PSV,"RW, LW, AMF",30,18,1458,5,5.16,5,2.69,18.95,48.53,9.01,6.91,64.29,0,4.32,4.26,33.333,66.6,85.63,15.68,0.17,0.8,34.29,8.09,0,0
B. Smeets,Sparta Rotterdam,AMF,29,27,1721,4,2.64,3,3.02,12.39,39.66,3.29,3.61,52.17,0.05,1.41,2.35,14.815,37.55,80.5,8.84,0.16,0.42,48.28,4.29,0,0
S. de Jong,Heerenveen,"AMF, CF",33,19,1429,4,2.71,2,1.1,22.55,35.75,4.35,4.41,57.14,0.06,1.64,2.46,13.793,27.08,77.67,9.07,0.07,0.19,38.46,3.97,0,0
R. van der Venne,RKC Waalwijk,AMF,29,29,2145,4,6.73,2,1.8,21.65,40.5,6.17,6.34,45.7,0.08,2.77,2.6,6.667,23.45,69.05,7.38,0.08,0.34,25,3.57,0,0
M. Kudus,Ajax,"RCMF, LDMF, AMF",21,17,872,4,1.69,1,0.8,30.55,41.89,7.95,8.15,55.7,0,2.79,4.13,23.529,57.18,91.52,11.87,0.08,0.21,57.14,6.19,0,0
M. Trésor,Genk,"AMF, LAMF, LW",22,34,2574,4,5.84,8,7.49,21.92,41.79,6.29,4.72,59.26,0.03,3.46,4.9,9.091,34.3,76.55,9.69,0.26,0.66,36.36,6.26,30.77,100
D. de Wit,AZ,"AMF, RCMF",24,20,1302,4,3.8,3,1.05,32.35,41.67,7.4,8.16,50.85,0.35,2.7,1.04,17.391,31.87,80.91,7.81,0.07,0.41,60,3.53,0,0
J. Ekkelenkamp,Hertha BSC,"AMF, RDMF, RCMF",21,15,717,3,4.8,2,1.81,22.09,43.75,5.77,5.4,65.12,0.5,2.01,2.38,13.636,34.52,83.27,11.05,0.23,0.5,11.11,3.77,0,0
S. Gustafson,Utrecht,"AMF, LCMF",27,22,1752,3,4.5,1,2.79,18.24,48.45,6.52,6.37,54.84,0.21,2.83,2.26,10.714,34.83,83.04,11.1,0.14,0.31,28.57,5.39,0,100
O. Kökçü,Feyenoord,"LCMF, AMF",21,24,1830,3,2.54,2,3.32,17.36,47.59,5.02,5.26,59.81,0.1,1.67,4.03,5.66,53.36,86.36,15,0.16,0.49,25,7.48,60,0
S. Bourard,ADO Den Haag,"AMF, LCMF",26,17,981,3,1.64,1,1.23,26.7,41.58,6.88,8.17,48.31,0.28,2.57,3.76,16.667,22.02,76.67,7.25,0.11,0.46,14.29,3.39,0,0
J. Bosch,Twente,"AMF, LCMF",21,32,2384,2,5.05,0,0.75,22.5,41.44,9.74,8,58.96,0.08,3.66,1.4,6.897,22.61,73.62,8.23,0.03,0.11,16.67,3.32,0,0
G. Sağlam,Willem II,"RDMF, AMF, RCMF",24,21,1346,2,2.7,1,1.74,19.32,43.6,8.49,8.56,54.69,0.2,3.34,1.34,9.524,42.06,84.58,12.04,0.12,0.13,45,5.82,66.67,0
I. Pherai,Borussia Dortmund II,"LWF, AMF",21,27,1724,2,3.06,2,2.32,23.28,37.22,5.69,6.84,48.85,0.1,2.19,3.81,4.444,25.84,64.04,7.99,0.12,0.57,21.62,4.8,0,0
R. Lundqvist,Panathinaikos,"AMF, LCMF, RCMF",24,26,1576,2,1.11,2,3,17.82,50,7.88,6.28,60,0.17,4.05,2,7.692,26.67,76.23,7.42,0.17,0.4,10,3.88,10,0
L. Ilić,Troyes,"AMF, LCMF, RCMF",22,24,1382,2,2.72,2,1.01,18.43,41.7,6.77,4.69,56.94,0.07,3.71,2.47,7.692,35.36,81.03,10.81,0.07,0.39,36.84,4.88,0,0
Nasser El Khayati,Willem II,"LCMF, AMF",33,11,901,2,2.46,0,0.29,14.58,30.14,3.1,2.4,62.5,0.1,1.6,3.5,10.526,34.86,81.66,9.29,0.03,0.3,40,5.79,0,50
D. Philipp,Viktoria Köln,"RWF, RW, AMF",22,15,601,2,1.03,0,0.06,25.76,38.37,8.24,9.73,49.23,0.15,2.7,3.74,20,16.77,63.39,5.39,0.01,0,40,3.29,0,0
T. Suslov,Groningen,"AMF, RWF, RCMF",19,29,1581,2,2.89,5,3.4,24.14,43.4,7.29,8.14,55.24,0.06,2.73,3.53,5.556,20.89,74.66,5.01,0.19,0.63,52.94,3.36,0,0
E. Linthorst,Go Ahead Eagles,"RCMF, LCMF, AMF",22,16,1394,2,1.57,3,2.33,20.27,47.77,8.78,8.2,55.91,0.26,4,1.16,22.222,36.67,84.51,9.75,0.15,0.32,25,4.52,0,0
H. Evjen,AZ,"RAMF, AMF",22,9,281,1,0.55,0,0,19.22,45,7.37,6.73,52.38,0,3.2,3.2,33.333,29.47,81.52,5.44,0,0.32,0,3.84,0,0
D. Min,RKC Waalwijk,"CF, AMF, RAMF",22,5,118,1,0.4,0,0.02,39.66,32.69,3.81,3.81,60,0,0.76,3.05,50,19.83,73.08,3.05,0.02,0.76,0,0.76,0,0
A. Tahiri,Heerenveen,"LDMF, AMF",27,33,2820,1,2.02,4,2.24,14.14,42.21,5.65,4.24,48.87,0.13,3.51,2.07,3.704,48.19,87.28,13.79,0.07,0.32,36.36,6.03,0,100
M. Rayhi,Al Batin,"LW, CF, AMF",27,3,287,0,0.54,0,0.09,27.6,52.27,9.72,10.03,59.38,0.31,3.14,5.96,0,24.15,80.52,5.02,0.03,0,100,3.45,0,0
M. Shabani,Wolverhampton Wanderers U23,"AMF, RW, LW",22,5,267,0,0.06,0,0,33.03,34.69,8.76,7.42,50,0,4.72,3.03,0,33.71,82,10.79,0,0,0,3.37,50,0
João Carlos,Feyenoord,"AMF, LCMF, RCMF",28,18,972,0,1.95,2,0.96,26.57,42.86,6.2,5.74,58.06,0,2.59,3.89,0,40.19,82.03,10.65,0.09,0.28,60,5,0,0
A. Hrustić,Eintracht Frankfurt,"AMF, RAMF",25,1,85,0,0.49,0,0.04,26.47,44,8.47,7.41,71.43,0,2.12,5.29,0,31.76,80,4.24,0.04,0,0,7.41,100,0
E. Hernández,Eindhoven,AMF,20,2,82,0,0,0,0,21.95,45,12.07,7.68,71.43,0,5.49,0,0,34.02,80.65,3.29,0,0,0,2.2,0,0
R. Morrison,Derby County,"AMF, LCMF",28,4,145,0,0.04,0,0.09,17.38,42.86,3.72,3.72,16.67,0,1.24,3.1,0,60.83,88.78,16.14,0.05,0,0,6.21,0,0
T. Dallinga,Excelsior,"CF, AMF, RCMF",21,6,91,0,1.09,0,0,38.57,41.03,0,0,0,0,0,2.97,0,24.73,60,3.96,0,0,0,1.98,0,0
L. Caciano,Emmen,"RW, AMF, RWB",20,5,94,0,0,0,0,31.6,48.48,11.49,10.53,72.73,0,3.83,0,0,14.36,93.33,3.83,0,0,0,0,0,0
R. Al Hajj,Heerenveen,"AMF, CF",20,23,690,0,1.47,1,0.45,25.7,40.61,5.87,5.09,64.1,0.13,2.61,2.74,0,37.3,83.92,7.57,0.06,0.26,66.67,3,0,0
S. Dewaele,Nancy,"CF, RW, AMF",23,7,199,0,0.48,0,0.8,15.83,25.71,8.59,7.69,29.41,0,5.88,0.9,0,22.16,87.76,7.24,0.36,0.45,100,2.71,0,0
D. Arzani,Lommel SK,"RAMF, LW, AMF",23,4,78,0,0.2,1,0.22,42.69,43.24,8.08,6.92,66.67,0,1.15,10.38,0,39.23,70.59,11.54,0.25,0,0,4.62,50,0
S. Sidibe,U Craiova 1948,AMF,21,3,53,0,0,0,0,23.77,64.29,11.89,6.79,75,0,3.4,1.7,0,16.98,40,5.09,0,0,0,3.4,0,0
W. Essanoussi,VVV Venlo,"LCMF, AMF, CF",18,5,108,0,0,0,0.02,14.17,29.41,5,0.83,100,0,4.17,0.83,0,23.33,64.29,7.5,0.02,0,50,5,0,0
Z. Machach,Honvéd,"AMF, LCMF, CF",26,24,1544,0,1.22,3,2.02,30.95,42.18,5.65,6.7,48.7,0.17,2.16,5.83,0,37.71,76.2,13.06,0.12,0.7,18.75,6.53,0,0
O. Romeny,Emmen,"AMF, RAMF, LW",21,11,406,0,1.6,0,0,29.7,47.01,3.99,3.99,55.56,0.22,1.55,5.99,0,25.27,78.07,6.21,0,0,0,2.66,0,0
