Player,Position,Assists,xA,Assists per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
D. Klaassen,"RDMF, RCMF, AMF",3,3.21,0.12,45.79,87.13,12.83,78.55,8.22,96.23,17.33,90.83,42.89,88.88,2.02,71.15,16.15,24.46,0.12,0.27,0.08,0.85,40.91,0.39,6.4,83.64,2.29,67.8,0.85,40.91,1.86,0.39,6.17,81.13
O. Kökçü,"LCMF, AMF",2,3.32,0.1,53.36,86.36,15,75.74,10.72,94.95,18.59,88.62,48.98,89.66,3.2,47.69,17.73,33.37,0.16,0.15,0,1.13,47.83,0.49,7.57,75.97,3.34,50,1.77,25,1.48,0.74,7.48,85.53
C. Stengs,"RAMF, AMF, RWF",5,7.33,0.16,38.26,78.43,11.58,65.92,7.83,90,11.91,82.19,34.87,81.2,2.25,60.87,18.1,38.34,0.24,0.1,0.03,3.1,53.68,0.72,5.35,71.34,4.73,57.24,3,51.09,2.67,0.42,6.52,86.5
M. Götze,"RW, LW, AMF",5,2.69,0.31,66.6,85.63,15.68,74.8,16.3,95.83,20.06,86.77,60.86,88.64,3.64,57.63,16.03,40.69,0.17,0.19,0.12,2.28,43.24,0.8,6.05,75.51,5.06,68.29,2.16,34.29,2.59,0.86,8.09,80.92
M. Kudus,"RCMF, LDMF, AMF",1,0.8,0.1,57.18,91.52,11.87,82.61,10.11,96.94,24.77,94.17,53.26,93.02,3.2,77.42,16.5,24.77,0.08,0,0,1.24,50,0.21,5.26,94.12,3.1,83.33,1.44,57.14,2.58,0.31,6.19,88.33
Q. Promes,"AMF, LAMF, CF",0,1.59,0,45.04,88.19,9.97,79.17,11.72,94.33,12.71,90.85,42.88,90.89,0.66,75,15.54,12.64,0.13,0.08,0,0.91,63.64,0.5,3.66,90.91,3.91,63.83,0.58,71.43,2.74,0.25,3.91,89.36
Z. Labyad,"AMF, CF, RCMF",6,2.45,0.53,35.61,80.2,7.67,72.41,6.17,90,11.72,82.71,32.53,82.93,1.23,71.43,15.1,16.07,0.22,0.26,0.26,1.5,35.29,0.79,3.97,86.67,3.53,60,1.23,21.43,2.47,0.53,5.02,82.46
J. Ekkelenkamp,"AMF, RDMF, RCMF",2,1.81,0.25,34.52,83.27,11.05,68.18,5.77,97.83,10.42,89.16,32.76,85.82,0.88,28.57,15.91,14.75,0.23,0,0,1.26,20,0.5,4.64,78.38,1,12.5,1.13,11.11,0.75,0.38,3.77,80
D. de Wit,"AMF, RCMF",3,1.05,0.21,31.87,80.91,7.81,61.95,9.61,94.96,8.43,86.07,30.69,82.66,1.04,33.33,14.44,16.39,0.07,0,0,0.28,50,0.41,3.11,62.22,0.83,25,0.35,60,0.55,0.07,3.53,62.75
A. Hrustić,"AMF, RAMF",0,0.04,0,31.76,80,4.24,100,5.29,80,18,76.47,25.41,83.33,5.29,80,24.09,56.19,0.04,0,0,0,0,0,8.47,87.5,1.06,0,0,0,0,0,7.41,85.71
